Titulo;Temporada;Estudios;Temas;Generos;Estreia;Transmissão;Nota;Qntd Avaliações;Faixa-etaria;Qntd de Membros;Favoritado por;Produtores;Distribuidores
"Trigun Stampede";"winter";"Orange";"Adult Cast";"Action|Adventure|Sci-Fi";"07/01/2023";"Saturdays at 23:00 (JST)";"7.83";"71.586";"PG-13 - Teens 13 or older";"189.858";"2.221";"TOHO";"N/A"
"Benriya Saitou-san, Isekai ni Iku";"winter";"C2C";"Isekai";"Adventure|Comedy|Fantasy";"08/01/2023";"Sundays at 22:30 (JST)";"7.41";"83.184";"R - 17+ (violence & profanity)";"173.362";"696";"AT-X|BS NTV|Kadokawa|GREE Entertainment";"Crunchyroll"
"Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu";"winter";"Geek Toys";"N/A";"Action|Adventure|Fantasy";"10/01/2023";"Tuesdays at 23:00 (JST)";"6.32";"72.775";"PG-13 - Teens 13 or older";"169.524";"691";"Frontier Works|Pony Canyon|Studio Mausu|Hakuhodo DY Music & Pictures|BS11|Kadokawa|Geek Pictures";"Crunchyroll"
"Hyouken no Majutsushi ga Sekai wo Suberu";"winter";"Cloud Hearts";"School";"Action|Fantasy";"06/01/2023";"Fridays at 01:28 (JST)";"6.35";"82.874";"PG-13 - Teens 13 or older";"167.434";"786";"Pony Canyon|TBS|Kodansha|BS11|Crunchyroll|DMM.com|Nichion|NichiNare|Yokohama Animation Laboratory|Bit grooove promotion";"N/A"
"Kyokou Suiri Season 2";"winter";"Brain's Base";"Adult Cast|Mythology";"Mystery|Romance|Supernatural";"09/01/2023";"Mondays at 01:05 (JST)";"7.35";"46.529";"R - 17+ (violence & profanity)";"160.313";"577";"Nihon Ad Systems|Kodansha|KlockWorx|Docomo Anime Store|King Records|Crunchyroll|BS NTV|Mixi|Studio Tenjin";"N/A"
"Oniichan wa Oshimai!";"winter";"Studio Bind";"CGDCT|Magical Sex Shift|School";"Comedy";"05/01/2023";"Thursdays at 23:30 (JST)";"7.67";"73.407";"PG-13 - Teens 13 or older";"152.943";"2.194";"Pony Canyon|Movic|AT-X|TOHO animation|Tokyo MX|Hakuhodo DY Music & Pictures|BS11|Egg Firm|Ichijinsha|Bit grooove promotion|Pia|Toho Music";"N/A"
"Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life";"winter";"Encourage Films";"N/A";"Comedy|Fantasy";"07/01/2023";"Saturdays at 22:00 (JST)";"7.02";"74.373";"PG-13 - Teens 13 or older";"147.517";"541";"Pony Canyon|Kodansha|bilibili|Good Smile Film|Bit grooove promotion";"Crunchyroll"
"Spy Kyoushitsu";"winter";"feel.";"N/A";"Action|Fantasy|Mystery";"05/01/2023";"Thursdays at 22:30 (JST)";"6.39";"43.068";"PG-13 - Teens 13 or older";"147.399";"715";"Movic|AT-X|Studio Mausu|BS NTV|Kadokawa";"Sentai Filmworks"
"Vinland Saga Season 2";"winter";"MAPPA";"Gore|Historical";"Action|Adventure|Drama";"10/01/2023";"Tuesdays at 00:30 (JST)";"8.81";"338.292";"R - 17+ (violence & profanity)";"639.961";"15.247";"Dentsu|Kodansha|Twin Engine";"N/A"
"Tomo-chan wa Onnanoko!";"winter";"Lay-duce";"School";"Comedy|Romance";"05/01/2023";"Thursdays at 00:30 (JST)";"7.78";"214.130";"PG-13 - Teens 13 or older";"408.836";"2.949";"Aniplex|Seikaisha|Crunchyroll|INSPION Edge|Three S Studio";"N/A"
"Tokyo Revengers: Seiya Kessen-hen";"winter";"LIDENFILMS";"Delinquents|Time Travel";"Action|Drama|Supernatural";"08/01/2023";"Sundays at 02:08 (JST)";"7.66";"156.974";"R - 17+ (violence & profanity)";"363.960";"2.538";"Mainichi Broadcasting System|Pony Canyon|Kodansha|AT-X|Ultra Super Pictures|Studio Mausu|Sammy";"N/A"
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou";"winter";"SILVER LINK.";"Reincarnation|School";"Action|Fantasy";"08/01/2023";"Sundays at 00:30 (JST)";"6.88";"101.577";"R - 17+ (violence & profanity)";"346.365";"4.073";"Aniplex|Movic|AT-X|Tokyo MX|Q-Tec|Docomo Anime Store|Medicos Entertainment|BS11|Yomiuri TV Enterprise|Contents Seed|Kadokawa|ADK Marketing Solutions";"Aniplex of America"
"Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken";"winter";"Project No.9";"School";"Romance";"07/01/2023";"Saturdays at 22:30 (JST)";"7.82";"174.256";"PG-13 - Teens 13 or older";"323.501";"5.414";"Pony Canyon|Movic|Magic Capsule|TOHO animation|Tokyo MX|Good Smile Company|Miracle Bus|Pia|SB Creative|Toho Music";"N/A"
"Bungou Stray Dogs 4th Season";"winter";"Bones";"Adult Cast|Detective|Organized Crime|Super Power";"Action|Mystery|Supernatural";"04/01/2023";"Wednesdays at 23:00 (JST)";"8.44";"115.573";"R - 17+ (violence & profanity)";"298.390";"3.262";"WOWOW|Lantis|Movic|Glovision|Crunchyroll|Kadokawa|Sony Music Solutions|Bandai Namco Music Live";"N/A"
"Ijiranaide, Nagatoro-san 2nd Attack";"winter";"OLM";"Romantic Subtext|School";"Comedy";"08/01/2023";"Sundays at 01:00 (JST)";"7.48";"119.292";"PG-13 - Teens 13 or older";"287.741";"2.000";"TMS Entertainment|Mainichi Broadcasting System|Kodansha|King Records";"N/A"
"NieR:Automata Ver1.1a";"winter";"A-1 Pictures";"N/A";"Action|Fantasy|Sci-Fi";"08/01/2023";"Sundays at 00:00 (JST)";"7.51";"75.674";"PG-13 - Teens 13 or older";"286.478";"2.141";"Aniplex|Square Enix";"Aniplex of America"
"Buddy Daddies";"winter";"P.A. Works";"Childcare|Organized Crime";"Action|Comedy";"07/01/2023";"Saturdays at 00:00 (JST)";"8.12";"127.056";"PG-13 - Teens 13 or older";"284.231";"3.075";"Aniplex|Movic|Nitroplus|Tokyo MX|Nagoya Broadcasting Network|BS11|Bit grooove promotion";"Crunchyroll"
"Tondemo Skill de Isekai Hourou Meshi";"winter";"MAPPA";"Isekai";"Adventure|Comedy|Fantasy|Gourmet";"11/01/2023";"Wednesdays at 00:00 (JST)";"7.66";"128.661";"PG-13 - Teens 13 or older";"236.281";"1.825";"dugout";"Crunchyroll"
"Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2";"winter";"SILVER LINK.";"Video Game";"Action|Adventure|Comedy|Fantasy";"11/01/2023";"Wednesdays at 23:30 (JST)";"7.2";"80.962";"PG-13 - Teens 13 or older";"234.283";"1.345";"MAGES.|Docomo Anime Store|Sammy|ABC Animation|Kadokawa Media House|Kadokawa|D-techno";"Crunchyroll"
"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen";"winter";"J.C.Staff";"N/A";"Action|Adventure|Fantasy";"07/01/2023";"Saturdays at 01:05 (JST)";"8.24";"116.226";"R - 17+ (violence & profanity)";"221.070";"1.536";"Genco|Movic|Warner Bros. Japan|KlockWorx|Hakuhodo DY Music & Pictures|Egg Firm|FuRyu|GREE|SB Creative";"Sentai Filmworks"
"Isekai Nonbiri Nouka";"winter";"Zero-G";"Isekai|Reincarnation";"Fantasy|Slice of Life";"06/01/2023";"Fridays at 21:00 (JST)";"7.56";"111.280";"PG-13 - Teens 13 or older";"213.873";"1.778";"MediaNet|Pony Canyon|AT-X|Hakuhodo|Kadokawa|Saber Links";"Sentai Filmworks"
"Saikyou Onmyouji no Isekai Tenseiki";"winter";"Studio Blanc.";"Isekai|Reincarnation";"Action|Adventure|Fantasy";"07/01/2023";"Saturdays at 23:30 (JST)";"7.14";"114.056";"PG-13 - Teens 13 or older";"212.929";"950";"KlockWorx|Asmik Ace|King Records|Futabasha|Crunchyroll";"N/A"
"Koori Zokusei Danshi to Cool na Douryou Joshi";"winter";"Zero-G|Liber";"Adult Cast|Mythology|Workplace";"Comedy|Fantasy|Romance";"04/01/2023";"Wednesdays at 22:30 (JST)";"7.32";"86.801";"PG-13 - Teens 13 or older";"211.021";"1.164";"Square Enix|Lantis|Movic|Nagoya Broadcasting Network|ABC Animation|NetEase|BS Asahi|Bandai Namco Music Live|Saber Links";"N/A"
"Kubo-san wa Mob wo Yurusanai";"winter";"PINE JAM";"School";"Comedy|Romance";"10/01/2023";"Tuesdays at 21:30 (JST)";"7.56";"80.630";"PG-13 - Teens 13 or older";"205.326";"1.577";"Pony Canyon|AT-X|Tokyo MX|Glovision|Shueisha|bilibili|Kadokawa";"Sentai Filmworks"
"Tensei Oujo to Tensai Reijou no Mahou Kakumei";"winter";"Diomedéa";"Isekai|Reincarnation";"Fantasy|Girls Love";"04/01/2023";"Wednesdays at 21:00 (JST)";"7.47";"93.068";"PG-13 - Teens 13 or older";"190.770";"1.536";"AT-X|Kansai Telecasting|Kadokawa|Bit grooove promotion|CTW|TVA advance";"N/A"
"Trigun Stampede";"winter";"Orange";"Adult Cast";"Action|Adventure|Sci-Fi";"07/01/2023";"Saturdays at 23:00 (JST)";"7.83";"71.586";"PG-13 - Teens 13 or older";"189.858";"2.221";"TOHO";"N/A"
"Benriya Saitou-san, Isekai ni Iku";"winter";"C2C";"Isekai";"Adventure|Comedy|Fantasy";"08/01/2023";"Sundays at 22:30 (JST)";"7.41";"83.184";"R - 17+ (violence & profanity)";"173.362";"696";"AT-X|BS NTV|Kadokawa|GREE Entertainment";"Crunchyroll"
"Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu";"winter";"Geek Toys";"N/A";"Action|Adventure|Fantasy";"10/01/2023";"Tuesdays at 23:00 (JST)";"6.32";"72.775";"PG-13 - Teens 13 or older";"169.524";"691";"Frontier Works|Pony Canyon|Studio Mausu|Hakuhodo DY Music & Pictures|BS11|Kadokawa|Geek Pictures";"Crunchyroll"
"Hyouken no Majutsushi ga Sekai wo Suberu";"winter";"Cloud Hearts";"School";"Action|Fantasy";"06/01/2023";"Fridays at 01:28 (JST)";"6.35";"82.874";"PG-13 - Teens 13 or older";"167.434";"786";"Pony Canyon|TBS|Kodansha|BS11|Crunchyroll|DMM.com|Nichion|NichiNare|Yokohama Animation Laboratory|Bit grooove promotion";"N/A"
"Kyokou Suiri Season 2";"winter";"Brain's Base";"Adult Cast|Mythology";"Mystery|Romance|Supernatural";"09/01/2023";"Mondays at 01:05 (JST)";"7.35";"46.529";"R - 17+ (violence & profanity)";"160.313";"577";"Nihon Ad Systems|Kodansha|KlockWorx|Docomo Anime Store|King Records|Crunchyroll|BS NTV|Mixi|Studio Tenjin";"N/A"
"Oniichan wa Oshimai!";"winter";"Studio Bind";"CGDCT|Magical Sex Shift|School";"Comedy";"05/01/2023";"Thursdays at 23:30 (JST)";"7.67";"73.407";"PG-13 - Teens 13 or older";"152.943";"2.194";"Pony Canyon|Movic|AT-X|TOHO animation|Tokyo MX|Hakuhodo DY Music & Pictures|BS11|Egg Firm|Ichijinsha|Bit grooove promotion|Pia|Toho Music";"N/A"
"Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life";"winter";"Encourage Films";"N/A";"Comedy|Fantasy";"07/01/2023";"Saturdays at 22:00 (JST)";"7.02";"74.373";"PG-13 - Teens 13 or older";"147.517";"541";"Pony Canyon|Kodansha|bilibili|Good Smile Film|Bit grooove promotion";"Crunchyroll"
"Spy Kyoushitsu";"winter";"feel.";"N/A";"Action|Fantasy|Mystery";"05/01/2023";"Thursdays at 22:30 (JST)";"6.39";"43.068";"PG-13 - Teens 13 or older";"147.399";"715";"Movic|AT-X|Studio Mausu|BS NTV|Kadokawa";"Sentai Filmworks"
"Vinland Saga Season 2";"winter";"MAPPA";"Gore|Historical";"Action|Adventure|Drama";"10/01/2023";"Tuesdays at 00:30 (JST)";"8.81";"338.292";"R - 17+ (violence & profanity)";"639.961";"15.247";"Dentsu|Kodansha|Twin Engine";"N/A"
"Tomo-chan wa Onnanoko!";"winter";"Lay-duce";"School";"Comedy|Romance";"05/01/2023";"Thursdays at 00:30 (JST)";"7.78";"214.130";"PG-13 - Teens 13 or older";"408.836";"2.949";"Aniplex|Seikaisha|Crunchyroll|INSPION Edge|Three S Studio";"N/A"
"Tokyo Revengers: Seiya Kessen-hen";"winter";"LIDENFILMS";"Delinquents|Time Travel";"Action|Drama|Supernatural";"08/01/2023";"Sundays at 02:08 (JST)";"7.66";"156.974";"R - 17+ (violence & profanity)";"363.960";"2.538";"Mainichi Broadcasting System|Pony Canyon|Kodansha|AT-X|Ultra Super Pictures|Studio Mausu|Sammy";"N/A"
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou";"winter";"SILVER LINK.";"Reincarnation|School";"Action|Fantasy";"08/01/2023";"Sundays at 00:30 (JST)";"6.88";"101.577";"R - 17+ (violence & profanity)";"346.365";"4.073";"Aniplex|Movic|AT-X|Tokyo MX|Q-Tec|Docomo Anime Store|Medicos Entertainment|BS11|Yomiuri TV Enterprise|Contents Seed|Kadokawa|ADK Marketing Solutions";"Aniplex of America"
"Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken";"winter";"Project No.9";"School";"Romance";"07/01/2023";"Saturdays at 22:30 (JST)";"7.82";"174.256";"PG-13 - Teens 13 or older";"323.501";"5.414";"Pony Canyon|Movic|Magic Capsule|TOHO animation|Tokyo MX|Good Smile Company|Miracle Bus|Pia|SB Creative|Toho Music";"N/A"
"Bungou Stray Dogs 4th Season";"winter";"Bones";"Adult Cast|Detective|Organized Crime|Super Power";"Action|Mystery|Supernatural";"04/01/2023";"Wednesdays at 23:00 (JST)";"8.44";"115.573";"R - 17+ (violence & profanity)";"298.390";"3.262";"WOWOW|Lantis|Movic|Glovision|Crunchyroll|Kadokawa|Sony Music Solutions|Bandai Namco Music Live";"N/A"
"Ijiranaide, Nagatoro-san 2nd Attack";"winter";"OLM";"Romantic Subtext|School";"Comedy";"08/01/2023";"Sundays at 01:00 (JST)";"7.48";"119.292";"PG-13 - Teens 13 or older";"287.741";"2.000";"TMS Entertainment|Mainichi Broadcasting System|Kodansha|King Records";"N/A"
"NieR:Automata Ver1.1a";"winter";"A-1 Pictures";"N/A";"Action|Fantasy|Sci-Fi";"08/01/2023";"Sundays at 00:00 (JST)";"7.51";"75.674";"PG-13 - Teens 13 or older";"286.478";"2.141";"Aniplex|Square Enix";"Aniplex of America"
"Buddy Daddies";"winter";"P.A. Works";"Childcare|Organized Crime";"Action|Comedy";"07/01/2023";"Saturdays at 00:00 (JST)";"8.12";"127.056";"PG-13 - Teens 13 or older";"284.231";"3.075";"Aniplex|Movic|Nitroplus|Tokyo MX|Nagoya Broadcasting Network|BS11|Bit grooove promotion";"Crunchyroll"
"Tondemo Skill de Isekai Hourou Meshi";"winter";"MAPPA";"Isekai";"Adventure|Comedy|Fantasy|Gourmet";"11/01/2023";"Wednesdays at 00:00 (JST)";"7.66";"128.661";"PG-13 - Teens 13 or older";"236.281";"1.825";"dugout";"Crunchyroll"
"Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2";"winter";"SILVER LINK.";"Video Game";"Action|Adventure|Comedy|Fantasy";"11/01/2023";"Wednesdays at 23:30 (JST)";"7.2";"80.962";"PG-13 - Teens 13 or older";"234.283";"1.345";"MAGES.|Docomo Anime Store|Sammy|ABC Animation|Kadokawa Media House|Kadokawa|D-techno";"Crunchyroll"
"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen";"winter";"J.C.Staff";"N/A";"Action|Adventure|Fantasy";"07/01/2023";"Saturdays at 01:05 (JST)";"8.24";"116.226";"R - 17+ (violence & profanity)";"221.070";"1.536";"Genco|Movic|Warner Bros. Japan|KlockWorx|Hakuhodo DY Music & Pictures|Egg Firm|FuRyu|GREE|SB Creative";"Sentai Filmworks"
"Isekai Nonbiri Nouka";"winter";"Zero-G";"Isekai|Reincarnation";"Fantasy|Slice of Life";"06/01/2023";"Fridays at 21:00 (JST)";"7.56";"111.280";"PG-13 - Teens 13 or older";"213.873";"1.778";"MediaNet|Pony Canyon|AT-X|Hakuhodo|Kadokawa|Saber Links";"Sentai Filmworks"
"Saikyou Onmyouji no Isekai Tenseiki";"winter";"Studio Blanc.";"Isekai|Reincarnation";"Action|Adventure|Fantasy";"07/01/2023";"Saturdays at 23:30 (JST)";"7.14";"114.056";"PG-13 - Teens 13 or older";"212.929";"950";"KlockWorx|Asmik Ace|King Records|Futabasha|Crunchyroll";"N/A"
"Koori Zokusei Danshi to Cool na Douryou Joshi";"winter";"Zero-G|Liber";"Adult Cast|Mythology|Workplace";"Comedy|Fantasy|Romance";"04/01/2023";"Wednesdays at 22:30 (JST)";"7.32";"86.801";"PG-13 - Teens 13 or older";"211.021";"1.164";"Square Enix|Lantis|Movic|Nagoya Broadcasting Network|ABC Animation|NetEase|BS Asahi|Bandai Namco Music Live|Saber Links";"N/A"
"Kubo-san wa Mob wo Yurusanai";"winter";"PINE JAM";"School";"Comedy|Romance";"10/01/2023";"Tuesdays at 21:30 (JST)";"7.56";"80.630";"PG-13 - Teens 13 or older";"205.326";"1.577";"Pony Canyon|AT-X|Tokyo MX|Glovision|Shueisha|bilibili|Kadokawa";"Sentai Filmworks"
"Tensei Oujo to Tensai Reijou no Mahou Kakumei";"winter";"Diomedéa";"Isekai|Reincarnation";"Fantasy|Girls Love";"04/01/2023";"Wednesdays at 21:00 (JST)";"7.47";"93.068";"PG-13 - Teens 13 or older";"190.770";"1.536";"AT-X|Kansai Telecasting|Kadokawa|Bit grooove promotion|CTW|TVA advance";"N/A"
"Trigun Stampede";"winter";"Orange";"Adult Cast";"Action|Adventure|Sci-Fi";"07/01/2023";"Saturdays at 23:00 (JST)";"7.83";"71.586";"PG-13 - Teens 13 or older";"189.858";"2.221";"TOHO";"N/A"
"Benriya Saitou-san, Isekai ni Iku";"winter";"C2C";"Isekai";"Adventure|Comedy|Fantasy";"08/01/2023";"Sundays at 22:30 (JST)";"7.41";"83.184";"R - 17+ (violence & profanity)";"173.362";"696";"AT-X|BS NTV|Kadokawa|GREE Entertainment";"Crunchyroll"
"Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu";"winter";"Geek Toys";"N/A";"Action|Adventure|Fantasy";"10/01/2023";"Tuesdays at 23:00 (JST)";"6.32";"72.775";"PG-13 - Teens 13 or older";"169.524";"691";"Frontier Works|Pony Canyon|Studio Mausu|Hakuhodo DY Music & Pictures|BS11|Kadokawa|Geek Pictures";"Crunchyroll"
"Hyouken no Majutsushi ga Sekai wo Suberu";"winter";"Cloud Hearts";"School";"Action|Fantasy";"06/01/2023";"Fridays at 01:28 (JST)";"6.35";"82.874";"PG-13 - Teens 13 or older";"167.434";"786";"Pony Canyon|TBS|Kodansha|BS11|Crunchyroll|DMM.com|Nichion|NichiNare|Yokohama Animation Laboratory|Bit grooove promotion";"N/A"
"Kyokou Suiri Season 2";"winter";"Brain's Base";"Adult Cast|Mythology";"Mystery|Romance|Supernatural";"09/01/2023";"Mondays at 01:05 (JST)";"7.35";"46.529";"R - 17+ (violence & profanity)";"160.313";"577";"Nihon Ad Systems|Kodansha|KlockWorx|Docomo Anime Store|King Records|Crunchyroll|BS NTV|Mixi|Studio Tenjin";"N/A"
"Oniichan wa Oshimai!";"winter";"Studio Bind";"CGDCT|Magical Sex Shift|School";"Comedy";"05/01/2023";"Thursdays at 23:30 (JST)";"7.67";"73.407";"PG-13 - Teens 13 or older";"152.943";"2.194";"Pony Canyon|Movic|AT-X|TOHO animation|Tokyo MX|Hakuhodo DY Music & Pictures|BS11|Egg Firm|Ichijinsha|Bit grooove promotion|Pia|Toho Music";"N/A"
"Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life";"winter";"Encourage Films";"N/A";"Comedy|Fantasy";"07/01/2023";"Saturdays at 22:00 (JST)";"7.02";"74.373";"PG-13 - Teens 13 or older";"147.517";"541";"Pony Canyon|Kodansha|bilibili|Good Smile Film|Bit grooove promotion";"Crunchyroll"
"Spy Kyoushitsu";"winter";"feel.";"N/A";"Action|Fantasy|Mystery";"05/01/2023";"Thursdays at 22:30 (JST)";"6.39";"43.068";"PG-13 - Teens 13 or older";"147.399";"715";"Movic|AT-X|Studio Mausu|BS NTV|Kadokawa";"Sentai Filmworks"
"Kimetsu no Yaiba: Katanakaji no Sato-hen";"spring";"ufotable";"Historical";"Action|Fantasy";"09/04/2023";"Sundays at 23:15 (JST)";"8.22";"507.592";"R - 17+ (violence & profanity)";"865.709";"9.427";"Aniplex|Shueisha";"Aniplex of America"
"""Oshi no Ko""";"spring";"Doga Kobo";"Reincarnation|Showbiz";"Award Winning|Drama|Supernatural";"12/04/2023";"Wednesdays at 23:00 (JST)";"8.63";"486.733";"PG-13 - Teens 13 or older";"826.288";"28.194";"Delfi Sound|Shueisha|CyberAgent|Kadokawa";"Sentai Filmworks"
"Jigokuraku";"spring";"MAPPA";"Gore|Historical|Samurai";"Action|Adventure|Fantasy";"01/04/2023";"Saturdays at 23:00 (JST)";"8.1";"377.658";"R - 17+ (violence & profanity)";"707.372";"7.807";"Twin Engine";"Crunchyroll"
"Mashle";"spring";"A-1 Pictures";"Gag Humor|Parody|School";"Action|Comedy|Fantasy";"08/04/2023";"Saturdays at 00:00 (JST)";"7.62";"322.718";"PG-13 - Teens 13 or older";"584.745";"3.951";"Aniplex|Asatsu DK|Shueisha|INSPION Edge";"Aniplex of America"
"Tengoku Daimakyou";"spring";"Production I.G";"N/A";"Adventure|Mystery|Sci-Fi";"01/04/2023";"Saturdays at 22:00 (JST)";"8.21";"228.139";"R - 17+ (violence & profanity)";"494.420";"5.889";"Mainichi Broadcasting System|Kodansha|NBCUniversal Entertainment Japan|Avex Pictures|NetEase";"N/A"
"Dr. Stone: New World";"spring";"TMS Entertainment";"N/A";"Adventure|Comedy|Sci-Fi";"06/04/2023";"Thursdays at 22:30 (JST)";"8.15";"209.725";"PG-13 - Teens 13 or older";"473.944";"3.121";"TOHO animation|Shueisha";"Crunchyroll"
"Yamada-kun to Lv999 no Koi wo Suru";"spring";"Madhouse";"Video Game";"Romance";"02/04/2023";"Sundays at 00:30 (JST)";"7.8";"217.110";"PG-13 - Teens 13 or older";"420.602";"4.391";"Aniplex|Movic|Tokyo MX|BS11|Egg Firm|Kadokawa|COMICSMART";"Aniplex of America"
"Kono Subarashii Sekai ni Bakuen wo!";"spring";"Drive";"N/A";"Comedy|Fantasy";"06/04/2023";"Thursdays at 01:00 (JST)";"7.49";"134.112";"PG-13 - Teens 13 or older";"328.131";"1.837";"Half H.P Studio|Nippon Columbia|Atelier Musa|81 Produce|Sammy|Kadokawa";"Crunchyroll"
"Boku no Kokoro no Yabai Yatsu";"spring";"Shin-Ei Animation";"School";"Comedy|Romance";"02/04/2023";"Sundays at 01:30 (JST)";"8.24";"160.248";"PG-13 - Teens 13 or older";"314.416";"4.775";"Dentsu|TV Asahi|Movic|Magic Capsule|Avex Pictures|Akita Shoten|BS Asahi|TV Asahi Music";"Sentai Filmworks"
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta";"spring";"Millepensee";"Isekai|School";"Action|Adventure|Fantasy";"07/04/2023";"Fridays at 00:30 (JST)";"6.35";"163.667";"PG-13 - Teens 13 or older";"301.436";"2.194";"TMS Entertainment|Tokyo MX|BS11|Kadokawa|CTW";"Crunchyroll"
"Skip to Loafer";"spring";"P.A. Works";"School";"Drama";"04/04/2023";"Tuesdays at 23:00 (JST)";"8.13";"127.171";"PG-13 - Teens 13 or older";"273.906";"3.166";"Kodansha|Kansai Telecasting|Crunchyroll|A-Sketch|DMM pictures|DMM Music|NetEase";"N/A"
"Tonikaku Kawaii 2nd Season";"spring";"Seven Arcs";"N/A";"Comedy|Romance";"08/04/2023";"Saturdays at 01:05 (JST)";"7.6";"82.339";"PG-13 - Teens 13 or older";"249.761";"2.513";"Shogakukan-Shueisha Productions|Warner Bros. Japan|KlockWorx|Shogakukan|Crunchyroll";"N/A"
"Dead Mount Death Play";"spring";"Geek Toys";"Reincarnation";"Action|Fantasy|Supernatural";"11/04/2023";"Tuesdays at 00:00 (JST)";"7.29";"102.312";"R - 17+ (violence & profanity)";"231.853";"1.188";"Square Enix|Movic|Half H.P Studio|F.M.F|King Records|Crunchyroll|Kadokawa Media House|Geek Pictures";"N/A"
"Kimi wa Houkago Insomnia";"spring";"LIDENFILMS";"School";"Romance";"11/04/2023";"Tuesdays at 00:00 (JST)";"8.07";"82.756";"PG-13 - Teens 13 or older";"217.079";"1.925";"TV Tokyo|Pony Canyon|Ultra Super Pictures|Shogakukan|MAGNET|CHOCOLATE";"Sentai Filmworks"
"Kaminaki Sekai no Kamisama Katsudou";"spring";"Studio Palette";"Isekai|Parody";"Action|Comedy|Fantasy";"06/04/2023";"Thursdays at 01:30 (JST)";"6.72";"83.242";"R - 17+ (violence & profanity)";"186.096";"682";"Lantis|DAX Production|Kansai Telecasting|BS NTV|Kadokawa|MAGNET|Bandai Namco Music Live";"Crunchyroll"
"Mahoutsukai no Yome Season 2";"spring";"Studio Kafka";"Mythology|School";"Drama|Fantasy|Romance";"06/04/2023";"Thursdays at 22:00 (JST)";"7.76";"59.763";"PG-13 - Teens 13 or older";"183.347";"1.030";"flying DOG|Sound Team Don Juan|bilibili|Mag Garden|Chiptune|Twin Engine";"Crunchyroll"
"Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito";"spring";"Magic Bus|EMT Squared";"Harem|Isekai|Reincarnation";"Action|Fantasy|Romance";"03/04/2023";"Mondays at 00:00 (JST)";"6.67";"89.350";"PG-13 - Teens 13 or older";"168.738";"917";"Nippon Columbia|Studio Mausu|Docomo Anime Store|BS11|Crunchyroll|Yomiuri TV Enterprise|Happinet Phantom Studios|Tohjak|Hifumi Shobo";"N/A"
"Isekai Shoukan wa Nidome desu";"spring";"Studio Elle";"Harem|Isekai";"Adventure|Comedy|Fantasy|Romance";"09/04/2023";"Sundays at 02:00 (JST)";"5.67";"60.104";"PG-13 - Teens 13 or older";"153.038";"763";"Futabasha|BS11|ABC Animation|Jinnan Studio|Bushiroad Move|Crest";"N/A"
"Kanojo ga Koushaku-tei ni Itta Riyuu";"spring";"Typhoon Graphics";"Isekai|Reincarnation";"Fantasy|Romance";"10/04/2023";"Mondays at 21:30 (JST)";"7.53";"67.226";"PG-13 - Teens 13 or older";"148.287";"1.391";"Frontier Works|Lantis|AT-X|Glovision|Crunchyroll|Kadokawa|arma bianca|Bandai Namco Music Live|Happinet Phantom Studios|D&C WEBTOON Biz";"N/A"
"Otonari ni Ginga";"spring";"Asahi Production";"Childcare|Otaku Culture";"Romance|Supernatural";"09/04/2023";"Sundays at 01:30 (JST)";"7.14";"56.199";"PG-13 - Teens 13 or older";"144.377";"578";"Kodansha|KlockWorx|King Records|Crunchyroll";"N/A"
"Ousama Ranking: Yuuki no Takarabako";"spring";"Wit Studio";"N/A";"Adventure|Fantasy";"14/04/2023";"Fridays at 00:55 (JST)";"7.31";"37.788";"PG-13 - Teens 13 or older";"139.421";"596";"Aniplex|Dentsu|Fuji TV|Kadokawa|Bandai Spirits";"N/A"
"Isekai wa Smartphone to Tomo ni. 2";"spring";"J.C.Staff";"Harem|Isekai";"Adventure|Comedy|Fantasy|Romance";"03/04/2023";"Mondays at 23:30 (JST)";"6.43";"55.927";"PG-13 - Teens 13 or older";"137.709";"1.073";"Sotsu|MediaNet|Pony Canyon|AT-X|Asmik Ace|Hobby Japan|81 Produce|Kadokawa|CTW";"Crunchyroll"
